Cell ID ,Area,Perimeter,Length,Width,Eccentricity,Irregularity
13,209,71,18.60107524,15,0.591363664,4.911172693
16,224,79,19.41648784,15.8113883,0.580405054,5.278409528
18,263,87,24.16609195,15.65247584,0.761892021,5.364649819
20,204,76,25.45584412,12.04159458,0.881041752,5.321064319
22,229,81,20.61552813,15.5241747,0.657982657,5.352630664
23,150,52,13,12,0.384615385,4.245782221
24,243,90,26.92582404,13.60147051,0.863033943,5.773502692
30,188,58,17.2626765,12.16552506,0.709475655,4.230084753
33,252,84,20.80865205,15,0.693086946,5.291502622
34,284,90,28.01785145,13.03840481,0.885121173,6.052586457
36,152,54,13.60147051,13,0.294085849,4.379978371
37,157,56,15.5241747,12.36931688,0.604272478,4.469286553
38,171,61,16.2788206,13.15294644,0.589211177,4.664786589
39,155,54,15,12,0.6,4.337384376
40,186,61,16,14,0.484122918,4.472737008
43,317,98,30.87069808,13.41640786,0.900623545,6.234381115
45,164,54,14,13,0.371153744,4.216691571
47,246,79,18.60107524,16.64331698,0.446566865,5.036856033
48,191,61,15.62049935,13.45362405,0.508130614,4.413805092
49,188,62,17,14,0.567273574,4.521814736
51,161,56,15,13,0.498887652,4.413418275
52,164,52,13,13,0,4.060517809
53,176,58,14.76482306,13.89244399,0.338642731,4.371914496
55,175,55,15,13,0.498887652,4.157609203
56,159,55,13.92838828,13,0.358979079,4.361783721
57,171,56,14,13,0.371153744,4.282427032
58,172,56,16.1245155,12.52996409,0.629407536,4.269959969
59,157,53,13.92838828,13,0.358979079,4.229860488
60,168,59,16.15549442,13,0.593709038,4.551948824
61,170,56,15.55634919,12.72792206,0.574959575,4.295003938
62,155,52,14.14213562,12.72792206,0.435889894,4.17674051
63,164,52,13,13,0,4.060517809
64,170,56,15.8113883,13.60147051,0.509901951,4.295003938
66,317,98,23.43074903,19.84943324,0.531348767,5.504228372
68,216,64,19,13,0.729284551,4.354648432
69,251,77,22,15,0.731521679,4.860196904
71,162,52,13,13,0,4.085505847
72,179,58,15.55634919,14.14213562,0.41659779,4.335123538
73,171,55,15,13,0.498887652,4.205955121
74,166,54,14,13,0.371153744,4.191212839
75,210,63,18.24828759,15.13274595,0.558849096,4.347413024
76,186,58,15,14,0.359010987,4.252766336
77,179,57,18.02775638,13.60147051,0.656330123,4.260380029
78,320,112,31.04834939,16.4924225,0.84725576,6.260990337
79,164,53,15,12,0.6,4.13860469
81,199,62,17,14,0.567273574,4.395063471
82,154,54,16.15549442,12.08304597,0.663786884,4.351444006
83,251,77,22.627417,15.55634919,0.726184377,4.860196904
84,188,60,16.2788206,13.45362405,0.563010774,4.375949745
85,218,67,18.38477631,14.76482306,0.595843592,4.537812592
87,322,96,29.15475947,15.03329638,0.856806657,6.018604696
88,224,69,18.02775638,16.03121954,0.4574175,4.610256423
90,275,88,25.3179778,16.2788206,0.76588737,5.306599665
91,201,60,18.78829423,13.41640786,0.700060702,4.232073695
92,213,68,16.40121947,15,0.404436365,4.659283227
93,223,68,19,15,0.61378441,4.553616805
95,210,67,15.55634919,14.14213562,0.41659779,4.623439248
96,190,60,15,14,0.359010987,4.352857501
97,347,108,31.2409987,15.62049935,0.866025404,5.958792211
98,220,67,17.08800749,15.23154621,0.453298414,4.517139079
101,205,61,17,14,0.567273574,4.260424804
102,210,62,17,14,0.567273574,4.278406468
103,220,63,17.4642492,15.5241747,0.458078667,4.247459134
104,220,68,17.69180601,14.86606875,0.54215285,4.584559065
105,246,71,18.35755975,15.26433752,0.555522584,4.526794663
106,205,60,15,15,0,4.190581775
107,224,67,19,15,0.61378441,4.476625802
108,225,69,18.43908891,14.86606875,0.591607978,4.6
109,274,74,21.9544984,14.76482306,0.740079619,4.470503491
110,220,63,15.5241747,14.86606875,0.288075601,4.247459134
112,214,62,16,15,0.347985273,4.238232748
113,242,69,19.79898987,15.55634919,0.618589574,4.435487991
114,219,65,17.49285568,14.76482306,0.536266444,4.39229296
115,221,64,17,15,0.470588235,4.305105882
116,207,62,15,15,0,4.309297891
117,222,62,16,15,0.347985273,4.161167542
118,218,65,18.38477631,14.14213562,0.638971066,4.4023555
119,201,61,16,15,0.347985273,4.302608257
120,230,69,18.24828759,16.1245155,0.468208521,4.549725266
124,216,60,16,14,0.484122918,4.082482905
125,315,86,32.01562119,16.76305461,0.851970456,4.84555106
126,233,70,16.97056275,14.86606875,0.482326538,4.585852475
127,226,66,17,16,0.33791545,4.390254695
128,229,66,17,16,0.33791545,4.361402763
